country,state,city,keyword
Andorra,Andorra,Andorra,Andorra
United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
Afghanistan,Afghanistan,Afghanistan,Afghanistan
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Anguilla,Anguilla,Anguilla,Anguilla
Albania,Albania,Albania,Albania
Armenia,Armenia,Armenia,Armenia
Netherlands Antilles,Netherlands Antilles,Netherlands Antilles,Netherlands Antilles
Angola,Angola,Angola,Angola
Antarctica,Antarctica,Antarctica,Antarctica
Argentina,Argentina,Argentina,Argentina
American Samoa,American Samoa,American Samoa,American Samoa
Austria,Austria,Austria,Austria
Australia,Australia,Australia,Australia
Aruba,Aruba,Aruba,Aruba
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Barbados,Barbados,Barbados,Barbados
Bangladesh,Bangladesh,Bangladesh,Bangladesh
Belgium,Belgium,Belgium,Belgium
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Bulgaria,Bulgaria,Bulgaria,Bulgaria
Bahrain,Bahrain,Bahrain,Bahrain
Burundi,Burundi,Burundi,Burundi
Benin,Benin,Benin,Benin
Bermuda,Bermuda,Bermuda,Bermuda
Brunei,Brunei,Brunei,Brunei
Bolivia,Bolivia,Bolivia,Bolivia
Brazil,Brazil,Brazil,Brazil
Bahamas,Bahamas,Bahamas,Bahamas
Bhutan,Bhutan,Bhutan,Bhutan
Bouvet Island,Bouvet Island,Bouvet Island,Bouvet Island
Botswana,Botswana,Botswana,Botswana
Belarus,Belarus,Belarus,Belarus
Belize,Belize,Belize,Belize
Canada,Canada,Canada,Canada
Cocos [Keeling] Islands,Cocos [Keeling] Islands,Cocos [Keeling] Islands,Cocos [Keeling] Islands
Congo [DRC],Congo [DRC],Congo [DRC],Congo [DRC]
Central African Republic,Central African Republic,Central African Republic,Central African Republic
Congo [Republic],Congo [Republic],Congo [Republic],Congo [Republic]
Switzerland,Switzerland,Switzerland,Switzerland
Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire
Cook Islands,Cook Islands,Cook Islands,Cook Islands
Chile,Chile,Chile,Chile
Cameroon,Cameroon,Cameroon,Cameroon
China,China,China,China
Colombia,Colombia,Colombia,Colombia
Costa Rica,Costa Rica,Costa Rica,Costa Rica
Cuba,Cuba,Cuba,Cuba
Cape Verde,Cape Verde,Cape Verde,Cape Verde
Christmas Island,Christmas Island,Christmas Island,Christmas Island
