country,state,city,sub-district,keyword
Indonesia,Aceh,Aceh Selatan,Bakongan,Bakongan
Indonesia,Aceh,Aceh Selatan,Kluet Utara,Kluet Utara
Indonesia,Aceh,Aceh Selatan,Kluet Selatan,Kluet Selatan
Indonesia,Aceh,Aceh Selatan,Labuhan Haji,Labuhan Haji
Indonesia,Aceh,Aceh Selatan,Meukek,Meukek
Indonesia,Aceh,Aceh Selatan,Samadua,Samadua
Indonesia,Aceh,Aceh Selatan,Sawang,Sawang
Indonesia,Aceh,Aceh Selatan,Tapaktuan,Tapaktuan
Indonesia,Aceh,Aceh Selatan,Trumon,Trumon
Indonesia,Aceh,Aceh Selatan,Pasi Raja,Pasi Raja
Indonesia,Aceh,Aceh Selatan,Labuhan Haji Timur,Labuhan Haji Timur
Indonesia,Aceh,Aceh Selatan,Labuhan Haji Barat,Labuhan Haji Barat
Indonesia,Aceh,Aceh Selatan,Kluet Tengah,Kluet Tengah
Indonesia,Aceh,Aceh Selatan,Kluet Timur,Kluet Timur
Indonesia,Aceh,Aceh Selatan,Bakongan  Timur,Bakongan  Timur
Indonesia,Aceh,Aceh Selatan,Trumon Timur,Trumon Timur
Indonesia,Aceh,Aceh Selatan,Kota Bahagia,Kota Bahagia
Indonesia,Aceh,Aceh Selatan,Trumon Tengah,Trumon Tengah
Indonesia,Aceh,Aceh Tenggara,Lawe Alas,Lawe Alas
Indonesia,Aceh,Aceh Tenggara,Lawe Sigala-Gala,Lawe Sigala-Gala
Indonesia,Aceh,Aceh Tenggara,Bambel,Bambel
Indonesia,Aceh,Aceh Tenggara,Babussalam,Babussalam
Indonesia,Aceh,Aceh Tenggara,Badar,Badar
Indonesia,Aceh,Aceh Tenggara,Babul Makmur,Babul Makmur
Indonesia,Aceh,Aceh Tenggara,Darul Hasanah,Darul Hasanah
Indonesia,Aceh,Aceh Tenggara,Lawe Bulan,Lawe Bulan
Indonesia,Aceh,Aceh Tenggara,Bukit Tusam,Bukit Tusam
Indonesia,Aceh,Aceh Tenggara,Semadam,Semadam
Indonesia,Aceh,Aceh Tenggara,Babul Rahmah,Babul Rahmah
Indonesia,Aceh,Aceh Tenggara,Ketambe,Ketambe
Indonesia,Aceh,Aceh Tenggara,Deleng Pokhkisen,Deleng Pokhkisen
Indonesia,Aceh,Aceh Tenggara,Lawe Sumur,Lawe Sumur
Indonesia,Aceh,Aceh Tenggara,Tanoh Alas,Tanoh Alas
Indonesia,Aceh,Aceh Tenggara,Leuser,Leuser
Indonesia,Aceh,Aceh Timur,Darul Aman,Darul Aman
Indonesia,Aceh,Aceh Timur,Julok,Julok
Indonesia,Aceh,Aceh Timur,Idi Rayeuk,Idi Rayeuk
Indonesia,Aceh,Aceh Timur,Birem Bayeun,Birem Bayeun
Indonesia,Aceh,Aceh Timur,Serbajadi,Serbajadi
Indonesia,Aceh,Aceh Timur,Nurussalam,Nurussalam
Indonesia,Aceh,Aceh Timur,Peureulak,Peureulak
Indonesia,Aceh,Aceh Timur,Rantau Selamat,Rantau Selamat
Indonesia,Aceh,Aceh Timur,Simpang Ulim,Simpang Ulim
Indonesia,Aceh,Aceh Timur,Rantau Peureulak,Rantau Peureulak
Indonesia,Aceh,Aceh Timur,Pante Bidari,Pante Bidari
Indonesia,Aceh,Aceh Timur,Madat,Madat
Indonesia,Aceh,Aceh Timur,Indra Makmu,Indra Makmu
Indonesia,Aceh,Aceh Timur,Idi Tunong,Idi Tunong
Indonesia,Aceh,Aceh Timur,Banda Alam,Banda Alam
Indonesia,Aceh,Aceh Timur,Peudawa,Peudawa
Indonesia,Aceh,Aceh Timur,Peureulak  Timur,Peureulak  Timur
Indonesia,Aceh,Aceh Timur,Peureulak Barat,Peureulak Barat
Indonesia,Aceh,Aceh Timur,Sungai Raya,Sungai Raya
Indonesia,Aceh,Aceh Timur,Simpang Jernih,Simpang Jernih
Indonesia,Aceh,Aceh Timur,Darul Ihsan,Darul Ihsan
Indonesia,Aceh,Aceh Timur,Darul Falah,Darul Falah
Indonesia,Aceh,Aceh Timur,Idi Timur,Idi Timur
Indonesia,Aceh,Aceh Timur,Peunaron,Peunaron
Indonesia,Aceh,Aceh Tengah,Linge,Linge
Indonesia,Aceh,Aceh Tengah,Silih Nara,Silih Nara
Indonesia,Aceh,Aceh Tengah,Bebesen,Bebesen
Indonesia,Aceh,Aceh Tengah,Pegasing,Pegasing
Indonesia,Aceh,Aceh Tengah,Bintang,Bintang
Indonesia,Aceh,Aceh Tengah,Ketol,Ketol
Indonesia,Aceh,Aceh Tengah,Kebayakan,Kebayakan
Indonesia,Aceh,Aceh Tengah,Kute Panang,Kute Panang
Indonesia,Aceh,Aceh Tengah,Celala,Celala
Indonesia,Aceh,Aceh Tengah,Laut Tawar,Laut Tawar
Indonesia,Aceh,Aceh Tengah,Atu Lintang,Atu Lintang
Indonesia,Aceh,Aceh Tengah,Jagong Jeget,Jagong Jeget
Indonesia,Aceh,Aceh Tengah,Bies,Bies
Indonesia,Aceh,Aceh Tengah,Rusip Antara,Rusip Antara
